current_time;latitude;longitude;speed;miles;miles_lap;rtc;millis;rpm;input_voltage;motor_watt;motor_tempMosfet;motor_tempMotor;motor_current;battery_current;motor_dutyCycle;motor_error;rasp_temp;battery_ampere;battery_voltage;charge;battery_temperature;autonomy
current_time;latitude;longitude;speed;miles;miles_lap;rtc;millis;rpm;input_voltage;motor_watt;motor_tempMosfet;motor_tempMotor;motor_current;battery_current;motor_dutyCycle;motor_error;rasp_temp;battery_ampere;battery_voltage;charge;battery_temperature;autonomy
11:30:29.419;43.737.316;7.428.375;0.3;0.0;0.0; ;3783;5769.00;97.50;0.11;35.20;32.50;91.29;10.01;0.10;0.0;45;18.3;99.7;94.5;35;
11:30:30.044;43.737.311;7.428.376;0.0;0.0;0.0; ;4392;-2.00;97.60;0.11;35.20;32.40;0.00;0.00;-0.01;0.0;45;0.4;100.0;94.5;35;
11:30:30.625;43.737.311;7.428.375;0.1;0.0;0.0; ;4998;0.00;97.60;0.11;35.20;32.20;0.00;0.00;0.01;0.0;45;0.3;100.0;94.5;35;
11:30:31.144;4.373.731;7.428.375;0.2;0.0;0.0; ;5504;0.00;97.60;0.11;35.10;32.30;0.00;0.00;0.01;0.0;46;0.5;100.0;94.5;35;
11:30:31.444;43.737.308;7.428.376;0.1;0.0;0.0; ;5807;0.00;97.60;0.11;35.10;32.40;0.00;0.00;0.00;0.0;46;0.5;100.0;94.5;35;
11:30:32.106;43.737.306;7.428.375;0.2;0.0;0.0; ;6420; ; ; ; ; ; ; ; ;nan;45;1.3;99.9;94.5;35;
11:30:32.426;43.737.305;7.428.375;0.2;0.0;0.0; ;6739; ; ; ; ; ; ; ; ;nan;46;1.3;99.9;94.5;35;
11:30:32.913;43.737.303;7.428.376;0.2;0.0;0.0; ;7272;-2946.00;97.60;0.16;35.00;32.40;4.60;0.29;-0.03;0.0;46;5.1;99.9;94.5;35;
11:30:33.686;43.737.303;7.428.375;0.1;0.0;0.0; ;7999; ; ; ; ; ; ; ; ;nan;45;1.9;99.9;94.5;35;
11:30:34.165;437.373;7.428.373;0.1;0.0;0.0; ;8526;-2663.00;97.60;0.25;35.00;32.40;0.00;0.00;-0.03;0.0;46;0.5;99.9;94.5;35;
11:30:34.560;43.737.298;7.428.373;0.2;0.0;0.0; ;8930;39.00;97.60;0.25;35.00;32.20;0.00;0.00;0.01;0.0;45;0.5;100.0;94.5;35;
11:30:35.073;43.737.296;7.428.371;0.6;0.0;0.0; ;9435;37.00;97.60;0.25;35.00;32.50;0.00;0.00;0.01;0.0;46;0.5;100.0;94.5;35;
11:30:35.672;43.737.296;742.837;0.7;0.0;0.0; ;10041;0.00;97.60;0.25;34.90;32.60;0.00;0.00;0.01;0.0;46;0.5;100.0;94.5;35;
11:30:36.185;43.737.293;7.428.366;0.7;0.0;0.0; ;10546;0.00;97.60;0.25;34.80;32.40;0.00;0.00;0.01;0.0;47;0.5;100.0;94.5;35;
