time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt_hours,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy
18:14:52.306,0,0,0.0,0,0,start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:14:52.570,37.978923,23.785983,0.2,0,0,start,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0
18:14:52.828,37.978921,23.785983,0.2,0.0,0.0,start,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
18:14:53.081,37.978921,23.785983,0.2,0.0,0.0,start,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
18:14:53.336,37.978921,23.785983,0.2,0.0,0.0,start,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
18:14:53.592,37.978921,23.785985,0.2,0.0,0.0,start,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0
18:14:53.842,37.978921,23.785985,0.2,0.0,0.0,start,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0
18:14:54.097,37.978921,23.785985,0.2,0.0,0.0, ,62,0.00,44.60,17.07,27.70,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:54.351,37.978921,23.785985,0.3,0.0,0.0, ,62,0.00,44.60,17.07,27.70,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:54.603,37.978921,23.785986,0.3,0.0,0.0, ,462,0.00,44.60,17.07,27.70,19.40,0.00,0.00,0.00,0,36,900.00,0.00,1.00,85.00,0
18:14:54.862,37.978921,23.785986,0.3,0.0,0.0, ,864,0.00,44.30,17.07,27.70,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:55.115,37.978921,23.785986,0.3,0.0,0.0, ,864,0.00,44.30,17.07,27.70,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:55.370,37.978921,23.785986,0.3,0.0,0.0, ,1262,0.00,44.60,17.07,27.70,19.30,0.00,0.00,0.00,0,38,900.00,0.00,1.00,85.00,0
18:14:55.623,37.978921,23.785986,0.3,0.0,0.0, ,1661,0.00,44.60,17.07,27.70,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:55.935,37.978923,23.785988,0.2,0.0,0.0, ,1661,0.00,44.60,17.07,27.70,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:56.196,37.978923,23.785988,0.2,0.0,0.0, ,2062,0.00,44.50,17.07,27.60,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:56.451,37.978923,23.785988,0.3,0.0,0.0, ,2461,0.00,44.60,17.07,27.70,19.40,0.00,0.00,0.00,0,38,900.00,0.00,1.00,85.00,0
18:14:56.699,37.978923,23.785988,0.3,0.0,0.0, ,2461,0.00,44.60,17.07,27.70,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:56.952,37.978923,23.785988,0.3,0.0,0.0, ,2862,0.00,44.50,17.07,27.60,19.40,0.00,0.00,0.00,0,38,900.00,0.00,1.00,85.00,0
18:14:57.206,37.978923,23.78599,0.3,0.0,0.0, ,3261,0.00,44.50,17.07,27.70,19.40,0.00,0.00,0.00,0,38,900.00,0.00,1.00,85.00,0
18:14:57.463,37.978923,23.78599,0.3,0.0,0.0, ,3261,0.00,44.50,17.07,27.70,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:57.719,37.978925,23.78599,0.3,0.0,0.0, ,3661,0.00,44.40,17.07,27.50,19.30,0.00,0.00,0.00,0,38,900.00,0.00,1.00,85.00,0
18:14:57.977,37.978925,23.78599,0.3,0.0,0.0, ,4062,0.00,44.30,17.07,27.60,19.30,0.00,0.00,0.00,0,39,900.00,0.00,1.00,85.00,0
18:14:58.226,37.978925,23.78599,0.3,0.0,0.0, ,4062,0.00,44.30,17.07,27.60,19.30,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:58.478,37.978925,23.78599,0.3,0.0,0.0, ,4462,0.00,44.20,17.07,27.50,19.40,0.00,0.00,0.00,0,37,900.00,0.00,1.00,85.00,0
18:14:58.727,37.978925,23.78599,0.3,0.0,0.0, ,4462,0.00,44.20,17.07,27.50,19.40,0.00,0.00,0.00,0,38,900.00,0.00,1.00,85.00,0
18:14:58.977,37.978926,23.78599,0.3,0.0,0.0, ,4861,0.00,44.60,17.07,27.70,19.40,0.00,0.00,0.00,0,38,900.00,0.00,1.00,85.00,0
