time,latitude,longitude,speed,miles,miles_lap,rtc,millis,rpm,input_voltage,motor_watt_hours,motor_tempMosfet,motor_tempMotor,motor_current,battery_current,motor_dutyCycle,motor_error,rasp_temp,battery_ampere,battery_voltage,charge,battery_temperature,autonomy
14:17:36.490,0,0,0.0,0,0,start,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:17:36.758, , ,-1,0,0, ,106,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,19,0.40,93.60,79.50,18.00,0
14:17:36.999, , ,-1,0,0, ,106,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,19,0.40,93.60,79.50,18.00,0
14:17:37.249, , ,-1,0,0, ,505,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,19,0.40,93.60,79.50,18.00,0
14:17:37.510, , ,-1,0,0, ,906,0.00,91.50,0.00,11.90,7.90,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:17:37.758, , ,-1,0,0, ,906,0.00,91.50,0.00,11.90,7.90,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:17:38.009, , ,-1,0,0, ,1305,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:17:38.270, , ,-1,0,0, ,1705,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:17:38.521, , ,-1,0,0, ,1705,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:17:38.773, , ,-1,0,0, ,2106,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:17:39.037, , ,-1,0,0, ,2106,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:48:14.820, , ,-1,0,0, ,2505,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,21,0.40,93.60,79.50,18.00,0
14:48:15.077, , ,-1,0,0, ,2906,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:48:15.329, , ,-1,0,0, ,2906,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:48:15.581, , ,-1,0,0, ,3305,0.00,91.50,0.00,11.90,7.80,0.00,0.00,0.01,0,21,0.40,93.60,79.50,18.00,0
14:48:15.837, , ,-1,0,0, ,3705,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,21,0.40,93.60,79.50,18.00,0
14:48:16.095, , ,-1,0,0, ,3705,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,21,0.40,93.60,79.50,18.00,0
14:48:16.347, , ,-1,0,0, ,4105,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:48:16.606, , ,-1,0,0, ,4505,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:48:16.856, , ,-1,0,0, ,4505,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:48:17.104, , ,-1,0,0, ,4904,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,19,0.40,93.60,79.50,18.00,0
14:48:17.359, , ,-1,0,0, ,4904,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:48:17.618, , ,-1,0,0, ,5305,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,20,0.40,93.60,79.50,18.00,0
14:48:17.865, , ,-1,0,0, ,5705,0.00,91.50,0.00,11.90,7.70,0.00,0.00,0.01,0,21,0.50,93.60,79.50,18.00,0
